sqft,bedrooms,bathrooms,clean_type,clutter,fridge,oven,labor_hours,clock_hours,rate_check_hours,price,solo_label,solo_hours,solo_price
800,3,2,deep,low,no,no,4.18,2.09,2.15,190,SOLO DEEP,4.18,190
800,3,2,deep,low,no,yes,4.81,2.4,4.25,215,SOLO DEEP,4.81,215
800,3,2,deep,low,yes,no,3.87,1.93,3.85,175,SOLO DEEP,3.87,175
800,3,2,deep,low,yes,yes,4.5,2.25,5.95,200,SOLO DEEP,4.5,205
800,3,2,deep,medium,no,no,4.48,2.24,2.78,200,SOLO DEEP,4.48,200
800,3,2,deep,medium,no,yes,5.1,2.55,4.88,230,SOLO DEEP,5.1,230
800,3,2,deep,medium,yes,no,4.16,2.08,4.48,185,SOLO DEEP,4.16,185
800,3,2,deep,medium,yes,yes,4.79,2.4,6.58,215,SOLO DEEP,4.79,215
800,3,2,deep,high,no,no,5.2,2.6,6.89,235,SOLO DEEP,5.2,235
800,3,2,deep,high,no,yes,5.83,2.91,8.99,260,SOLO DEEP,5.83,260
800,3,2,deep,high,yes,no,4.89,2.44,8.59,220,SOLO DEEP,4.89,220
800,3,2,deep,high,yes,yes,5.52,2.76,10.69,250,SOLO DEEP,5.52,250
800,3,3,standard,low,no,no,2.54,1.27,1.07,115,SOLO STANDARD,2.54,115
800,3,3,standard,low,no,yes,3.17,1.58,3.17,145,SOLO STANDARD,3.17,145
800,3,3,standard,low,yes,no,2.23,1.11,2.77,100,SOLO STANDARD,2.23,100
800,3,3,standard,low,yes,yes,2.86,1.43,4.87,130,SOLO STANDARD,2.86,130
800,3,3,standard,medium,no,no,2.83,1.42,1.38,130,SOLO STANDARD,2.83,125
800,3,3,standard,medium,no,yes,3.46,1.73,3.48,155,SOLO STANDARD,3.46,155
